23   0.0
16   1.96349540849
6   3.92699081699
-3   5.89048622548
-11   7.85398163397
-20   9.81747704247
-29   11.780972451
-36   13.7444678595
-42   15.7079632679
-45   17.6714586764
-47   19.6349540849
-47   21.5984494934
-47   23.5619449019
-43   25.5254403104
-38   27.4889357189
-31   29.4524311274
-24   31.4159265359
-16   33.3794219444
-6   35.3429173529
3   37.3064127614
12   39.2699081699
21   41.2334035784
29   43.1968989869
36   45.1603943954
42   47.1238898038
45   49.0873852123
47   51.0508806208
47   53.0143760293
46   54.9778714378
43   56.9413668463
38   58.9048622548
30   60.8683576633
